location,operator,route,type,all_aboard,passengers_aboard,crew_aboard,total_fatalities,passenger_fatalities,crew_fatalities,ground,year,month,day,country,decade,scale
"Off Drewin, Ivory Coast",Military - U.S. Army Air Forces,"Accra, Ghana - Monrovia, Liberia",Douglas C-47B-dK,21.0,18.0,3.0,21.0,18.0,3.0,0.0,1945,Mayo,Miércoles,IVORY COAST,1940,Sin escala
China,China National Aviation Corporation,,Douglas C-47,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1945,Junio,Viernes,CHINA,1940,Sin dato
"Gealdton, Australia",Mac Robertson Miller Airlines,Perth - Geraldton - Carnarvon - Port Hedland,de Havilland DH-86A,11.0,9.0,2.0,2.0,1.0,1.0,0.0,1945,Junio,Domingo,AUSTRALIA,1940,Con escala
"Swanage, England",Military -Royal Air Force,,Consolidated LB-30A Liberator,27.0,,,27.0,,,0.0,1945,Junio,Lunes,ENGLAND,1940,Sin dato
"Bangalore, India",Military - Royal Indian Air Force,,,2.0,,,2.0,,,36.0,1945,Junio,Viernes,INDIA,1940,Sin dato
Texas,Military - U.S. Air Force,,Boeing TB-29A Super Fortress,12.0,,,12.0,,,0.0,1945,Junio,Sábado,EEUU,1940,Sin dato
North Atlantic Ocean,Military -Royal Air Force,Montreal - Gander - Keflavik - Prestwick - Northolt,Consolidated LB-30A Liberator,15.0,,,15.0,,,0.0,1945,Julio,Miércoles,NORTH ATLANTIC OCEAN,1940,Con escala
"Near Kisumu, Kenya",Military - South African Air Force,Kisumu - Durban,Douglas C-47,28.0,24.0,4.0,28.0,24.0,4.0,0.0,1945,Julio,Miércoles,KENYA,1940,Sin escala
"Near Florence, South Carolina",Eastern Air Lines / Military - U.S. Army Air Corps,Boston - NY - Washington DC - Jacksonville - Miami,Douglas DC-3-201C /  Army A-26,10.0,4.0,6.0,3.0,1.0,2.0,0.0,1945,Julio,Jueves,EEUU,1940,Con escala
"New York, New York",Military - U.S. Army Air Forces,Bedford - New York,North American B-25D bomber,3.0,1.0,2.0,3.0,1.0,2.0,11.0,1945,Julio,Sábado,EEUU,1940,Sin escala
"Near San Luis Potosi, Mexico",Lineas Aereas Mineras,Mexico City - Nogales,Boeing 247D,12.0,9.0,3.0,12.0,9.0,3.0,0.0,1945,Agosto,Miércoles,MEXICO,1940,Sin escala
"Fort de France, Martinique",Pan American World Airways,Port of Spain - Fort de France,Sikorsky S-43 (flying boat),14.0,10.0,4.0,4.0,4.0,0.0,0.0,1945,Agosto,Viernes,MARTINIQUE,1940,Sin escala
"Ixtaccihuati, Mexico",Mexicana,Tapachula - Mexico City,Douglas DC-2-243,16.0,12.0,4.0,16.0,12.0,4.0,0.0,1945,Agosto,Sábado,MEXICO,1940,Sin escala
"Florence, South Carolina",Eastern Air Lines,Miami - New York City,Douglas DC-3,22.0,19.0,3.0,22.0,19.0,3.0,0.0,1945,Septiembre,Viernes,EEUU,1940,Sin escala
"Near Milne Bay, New Guinea",Military - Royal Australian Air Force,Milne Bay - Dobodura,Douglas C-47A,11.0,7.0,4.0,11.0,7.0,4.0,0.0,1945,Septiembre,Martes,NEW GUINEA,1940,Sin escala
"Near Kansas, Missouri",Military - U.S. Army Air Forces,,Douglas C-47B-DK,24.0,21.0,3.0,23.0,20.0,3.0,0.0,1945,Septiembre,Sábado,EEUU,1940,Sin dato
"Puncak Jaya, Papua New Guinea",Military - Royal Australian Air Force,Pitu - Merauke - Bamaga - Townsville,Douglas C-47B-5-DK,29.0,26.0,3.0,29.0,26.0,3.0,0.0,1945,Septiembre,Martes,PAPUA NEW GUINEA,1940,Con escala
"Near Chihkiang, China",Military - United States Army Air Force,,Curtiss C-46D,20.0,17.0,3.0,20.0,17.0,3.0,0.0,1945,Septiembre,Viernes,CHINA,1940,Sin dato
"Lakeland, Florida",National Airlines,Miami - Jacksonville,Lockheed 18 Lodestar,15.0,12.0,3.0,2.0,2.0,0.0,0.0,1945,Octubre,Viernes,EEUU,1940,Sin escala
"Elvetham, England",Military -Royal Air Force,England - Prague,Consolidated LB-40-A Liberator,23.0,18.0,5.0,23.0,18.0,5.0,0.0,1945,Octubre,Viernes,ENGLAND,1940,Sin escala
"Rennes, France",Military - Royal Air Force,London - Cairo,Short Stirling IV,26.0,20.0,6.0,26.0,20.0,6.0,0.0,1945,Octubre,Domingo,FRANCE,1940,Sin escala
"Melsbroek, Belgium",Military -Royal Air Force,London - Brussels - New Delhi,Consolidated LB-30-A Liberator,31.0,25.0,6.0,31.0,25.0,6.0,0.0,1945,Octubre,Sábado,BELGIUM,1940,Con escala
"Near Peking, China",Military - U.S. Army Air Forces,Hankou - Peking,Curtiss-Wright C-46F-CU,59.0,55.0,4.0,59.0,55.0,4.0,0.0,1945,Octubre,Martes,CHINA,1940,Sin escala
"Between Shanghi and Canton, China",China National Aviation Corporation,Shanghai - Canton,Douglas C-47,31.0,28.0,3.0,31.0,28.0,3.0,0.0,1945,Octubre,Sábado,CHINA,1940,Sin escala
"Timor Sea, Atlantic Ocean",Military - Royal Australian Air Force,"Ambon, Indonesia - Darwin, Australia",Douglas C-47B,25.0,21.0,4.0,25.0,21.0,4.0,0.0,1945,Octubre,Sábado,ATLANTIC OCEAN,1940,Sin escala
"Near Chiringa, India",Military - Royal Air Force,,Douglas C-47B,14.0,12.0,2.0,14.0,12.0,2.0,0.0,1945,Octubre,Martes,INDIA,1940,Sin dato
"Tarapoto, Peru",Faucett,,Faucett F-19,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1945,Octubre,Miércoles,PERU,1940,Sin dato
"Valetta, Malta",BOAC,London - Valetta - Cairo,Douglas C-47 Skytrain (DC-3),16.0,13.0,3.0,9.0,9.0,0.0,0.0,1945,Octubre,Miércoles,MALTA,1940,Con escala
"Chihchiang, China",Military - U.S. Army Air Forces,Zhijiang - Shanghai,Curtiss-Wright C-46A-CK,50.0,46.0,4.0,45.0,44.0,1.0,0.0,1945,Octubre,Martes,CHINA,1940,Sin escala
"Herrenalb, Germany",Military - U.S. Army Air Forces,Bovingdon - Schleissheim,Douglas C-47A-DK,30.0,26.0,4.0,26.0,22.0,4.0,0.0,1945,Noviembre,Jueves,GERMANY,1940,Sin escala
"Near Chuka, India",Military - U.S. Army Air Forces,Chabua - Karachi,Douglas C-54G,44.0,40.0,4.0,44.0,40.0,4.0,0.0,1945,Noviembre,Sábado,INDIA,1940,Sin escala
"Near Grants, New Mexico",National Skyway Freight Co.,Alberquerque -,Budd RB-1 Conestoga,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1945,Noviembre,Miércoles,NEW MEXICO,1940,Sin escala
"Off Corpus Christi, Texas",Military - U.S. Navy / Military - U.S. Navy,,Martin PBM-3S  / Martin PBM-5,27.0,,,22.0,,,0.0,1945,Noviembre,Jueves,EEUU,1940,Sin dato
"Near Boccadi, Italy",Military - U.S. Army Air Forces,Athens - Naples,Douglas C-47A-DL,24.0,20.0,4.0,24.0,20.0,4.0,0.0,1945,Noviembre,Viernes,ITALY,1940,Sin escala
"Near Picinisco, Italy",Military - U.S. Army Air Forces,France - Athens,Boeing B-17G,20.0,16.0,4.0,20.0,16.0,4.0,0.0,1945,Noviembre,Domingo,ITALY,1940,Sin escala
Himalayas,Military - U.S. Army,"Chabau, India - Karachi, Pakistan",Douglas C-54,44.0,,,44.0,,,0.0,1945,Noviembre,Domingo,HIMALAYAS,1940,Sin escala
"Near Castel, Libya",Military -Royal Air Force,,Short Stirling,29.0,22.0,7.0,29.0,22.0,7.0,0.0,1945,Noviembre,Domingo,LIBYA,1940,Sin dato
"Near Tacloban, Philippines",Australian National Airways,,Douglas C-48,17.0,14.0,3.0,16.0,13.0,3.0,,1945,Noviembre,Martes,PHILIPPINES,1940,Sin dato
Near Jacquinot Bay  New Guinea,Military - Royal Australian Air Force,Lae - Finschhafen - Jacquinot Bay - Rabaul,Douglas C-47 Dakota-DK,28.0,25.0,3.0,28.0,25.0,3.0,0.0,1945,Noviembre,Jueves,NEAR JACQUINOT BAY  NEW GUINEA,1940,Con escala
"White's Farm, England",Military -Royal Air Force,Merryfield - Bombay,Consolidated LB-30A Liberator,27.0,22.0,5.0,27.0,22.0,5.0,0.0,1945,Noviembre,Jueves,ENGLAND,1940,Sin escala
"Near Rochefort , France",Military -Royal Air Force,"India - Cambridge, England",Consolidated LB-30A Liberator,28.0,23.0,5.0,28.0,23.0,5.0,0.0,1945,Diciembre,Lunes,FRANCE,1940,Sin escala
Off the Florida coast,Military - U.S. Navy,,Five Grumman TBM Avengers,14.0,0.0,14.0,14.0,0.0,14.0,0.0,1945,Diciembre,Miércoles,OFF THE FLORIDA COAST,1940,Sin dato
"Off Smyrna, Bahamas",Military - U.S. Navy,Patrol,Martin PBM Mariner,13.0,0.0,13.0,13.0,0.0,13.0,0.0,1945,Diciembre,Miércoles,BAHAMAS,1940,Sin escala
"Near Billings, Montana",Military - U.S. Army,Minneapolis - Fargo - Billings,Douglas C-47,21.0,19.0,2.0,17.0,15.0,2.0,0.0,1945,Diciembre,Sábado,EEUU,1940,Con escala
"Voksenkollen, Norway",Military - Royal Air Force,Down Ampney - Copenhagen - Oslo,Douglas C-47B,17.0,13.0,4.0,17.0,13.0,4.0,0.0,1945,Diciembre,Martes,NORWAY,1940,Con escala
"Bangui, French Equatorial Africa",Air France,Paris - N’Djamena - Bangui - Antananarivo,Lockheed 18 Lodestar,8.0,5.0,3.0,8.0,5.0,3.0,0.0,1945,Diciembre,Martes,FRENCH EQUATORIAL AFRICA,1940,Con escala
"Near Dudinka, Russia",Polyarnya Aviatsiya,,Douglas DC-3,10.0,6.0,4.0,10.0,6.0,4.0,0.0,1945,Diciembre,Martes,RUSSIA,1940,Sin dato
"New York City, New York",Eastern Air Lines,Philadelphia - New York City,Douglas DC-3,12.0,9.0,3.0,1.0,1.0,0.0,0.0,1945,Diciembre,Domingo,EEUU,1940,Sin escala
"Birmingham, Alabama",Pennsylvania Central Airlines,"New York City - Birmingham, AL",Douglas DC-3,11.0,7.0,4.0,3.0,0.0,3.0,0.0,1946,Enero,Domingo,EEUU,1940,Sin escala
"Changchun, China",Military - Chinese Air Force,,Douglas C-47,18.0,,,18.0,,,0.0,1946,Enero,Miércoles,CHINA,1940,Sin dato
"Near Netrubezh, Russia",Aeroflot,"Kharkov, Ukraine - Moscow",Lisunov Li-2,22.0,17.0,5.0,22.0,17.0,5.0,0.0,1946,Enero,Lunes,RUSSIA,1940,Sin escala
"Marseilles, France",Military -Royal Air Force,,Douglas C-47 Dakota,25.0,21.0,4.0,23.0,19.0,4.0,0.0,1946,Enero,Martes,FRANCE,1940,Sin dato
"Cheshire, Connecticut",Eastern Air Lines,New York - Boston,Douglas DC-3-201E,17.0,14.0,3.0,17.0,14.0,3.0,0.0,1946,Enero,Viernes,EEUU,1940,Sin escala
"Crowsnest Pass, Alberta, Canada",Mililtary - Royal Canadian Air Force,"Comox, BC - Greenwood,NS",Douglas DC-3 Dakota,7.0,0.0,7.0,7.0,0.0,7.0,0.0,1946,Enero,Sábado,CANADA,1940,Sin escala
"Near Le Mans, France",Military - Royal Air Force,,Douglas C-47B,11.0,,,11.0,,,0.0,1946,Enero,Miércoles,FRANCE,1940,Sin dato
"Mt. Elk, Wyoming",United Air Lines,Boise - Denver,Douglas DC-3-194H,21.0,18.0,3.0,21.0,18.0,3.0,0.0,1946,Enero,Jueves,EEUU,1940,Sin escala
"Negros, Philippines",Military - U.S. Army Air Forces,Iloilo - Cebu,Douglas C-47,20.0,16.0,4.0,20.0,16.0,4.0,0.0,1946,Febrero,Martes,PHILIPPINES,1940,Sin escala
"Charlottetown, PE, Canada",British Overseas Airways,,Consolidated 32-2 Liberator II,14.0,,,1.0,,,0.0,1946,Febrero,Jueves,CANADA,1940,Sin dato
"Live Oak Springs, California",American Airlines,Dallas - Tucon - San Diego,Douglas DC-3-227B,27.0,24.0,3.0,27.0,24.0,3.0,0.0,1946,Marzo,Domingo,EEUU,1940,Con escala
"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Paris - Prauge,Junkers JU-52/3m,15.0,11.0,4.0,12.0,10.0,2.0,0.0,1946,Marzo,Martes,CZECHOSLOVAKIA,1940,Sin escala
"Off Hobart, Tasmania",Australian National Airways,Hobart - Melbourne,Douglas DC-3 (C-47DL),25.0,21.0,4.0,25.0,21.0,4.0,0.0,1946,Marzo,Domingo,TASMANIA,1940,Sin escala
"Near Nanking, China",Military - Chinese Air Force,Shanghai - Nanking,,20.0,,,20.0,,,0.0,1946,Marzo,Domingo,CHINA,1940,Sin escala
"Between Chungking and Shanghai, China",China National Aviation Corporation,Chunking - Shanghai,,,,,,,,,1946,Marzo,Lunes,CHINA,1940,Sin escala
"Hobart Mills, California",Military - U.S. Army Air Forces,"Stockton, CA - Ogden, UT",Douglas C-47B,26.0,23.0,3.0,26.0,23.0,3.0,0.0,1946,Marzo,Martes,EEUU,1940,Sin escala
"Off Ceylon, Cocos Islands, Indian Ocean",British Overseas Airways /Qantas,Karachi - Australia,Avro 691 Lancastrian 1,10.0,5.0,5.0,10.0,5.0,5.0,0.0,1946,Marzo,Sábado,INDIAN OCEAN,1940,Sin escala
"near Craigavad, Northern Ireland",Railway Air Services Ltd.,Liverpool - Belfast,de Hvilland 89A Dragon Rapide,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1946,Abril,Lunes,NORTHERN IRELAND,1940,Sin escala
"Rabat, Malta",Military - Royal British Navy,,Vickers Wellington bomber,4.0,0.0,4.0,4.0,0.0,4.0,16.0,1946,Abril,Viernes,MALTA,1940,Sin dato
"Near Shensi, China",,Shensi - Yenan,,14.0,11.0,3.0,14.0,11.0,3.0,0.0,1946,Abril,Lunes,CHINA,1940,Sin escala
"La Liberiad, Nicaragua",TACA,La Liberiad - Managua,Lockheed 14 Super Electra,21.0,18.0,3.0,20.0,17.0,3.0,0.0,1946,Abril,Lunes,NICARAGUA,1940,Sin escala
"Pindi-Khut ,India",Military - Royal Air Force,,Douglas C-47A,12.0,,,12.0,,,0.0,1946,Abril,Martes,INDIA,1940,Sin dato
"Munson, Florida",Military U.S. Navy / Military - U.S. Navy,,PBY4-2 Privateer / PB4Y-2 Privateer,28.0,,,28.0,,,0.0,1946,Mayo,Viernes,EEUU,1940,Sin dato
"Richmond, Virginia",Viking Air Transport,Richmond - Atlanta,Douglas DC-3,27.0,25.0,2.0,27.0,25.0,2.0,0.0,1946,Mayo,Jueves,EEUU,1940,Sin escala
"Oslo, Norway",DNL Norwegian Air Lines,Oslo - Stockholm,Junkers JU-52/3m,14.0,11.0,3.0,13.0,10.0,3.0,0.0,1946,Mayo,Miércoles,NORWAY,1940,Sin escala
"Off Amalfi, Italy",Military - U.S. Army Air Forces,Cairo - Rome,Douglas C-54-DO (DC-4),38.0,30.0,8.0,30.0,26.0,4.0,0.0,1946,Junio,Sábado,ITALY,1940,Sin escala
"Taboga Island, Panama",Military - U.S. Army Air Forces,,Douglas C-54D-DC (DC-4),23.0,17.0,6.0,23.0,17.0,6.0,0.0,1946,Junio,Domingo,PANAMA,1940,Sin dato
"Near Abeokuta, Nigeria",Military -Royal Air Force,Kano - Ikeja,Douglas C-47 Dakota,18.0,12.0,6.0,18.0,12.0,6.0,0.0,1946,Junio,Domingo,NIGERIA,1940,Sin escala
Off Malaya,Military - Royal Air Force,,Douglas C-47B,18.0,,,18.0,,,0.0,1946,Junio,Sábado,OFF MALAYA,1940,Sin dato
"Pau, France",Air France,,Junkers Ju-52/3m,3.0,0.0,3.0,2.0,0.0,2.0,0.0,1946,Junio,Sábado,FRANCE,1940,Sin dato
"Holyoke, Massachusetts",Military - U.S. Army Air Forces,,Boeing B17G,25.0,21.0,4.0,25.0,21.0,4.0,0.0,1946,Julio,Martes,EEUU,1940,Sin dato
"Reading, Pennsylvania",Trans Continental and Western Air,Training flight,Lockheed L-049 Constellation,6.0,0.0,6.0,5.0,0.0,5.0,0.0,1946,Julio,Jueves,EEUU,1940,Sin escala
"Tsinan, China",Central Air Transport,,Curtiss C-46,49.0,47.0,2.0,13.0,11.0,2.0,0.0,1946,Julio,Sábado,CHINA,1940,Sin dato
"Cuenca, Ecuador",ANDESA,Guayaquil - Cuenca,Curtiss C-46D-10-CU,30.0,27.0,3.0,30.0,27.0,3.0,0.0,1946,Julio,Miércoles,ECUADOR,1940,Sin escala
"Goodland, Kansas",Military - U.S. Army Air Corps,Topeka - Denver,Douglas C-47,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1946,Julio,Jueves,EEUU,1940,Sin escala
Off the Panama coast,Military -  (2) U.S. Army Air Forces,,Boeing B-17G / Boeing B-17G,20.0,,,20.0,,,0.0,1946,Julio,Sábado,OFF THE PANAMA COAST,1940,Sin dato
"Bassein, Burma",Military -Royal Air Force,,Douglas C-47 Dakota,22.0,18.0,4.0,22.0,18.0,4.0,0.0,1946,Julio,Jueves,BURMA,1940,Sin dato
"Near Huatesco, Veracruz, Mexico",Communicaciones Aereos de veracruz,Jalapa - Cordoba,Fairchild Pilgrim 100A,9.0,,,9.0,,,0.0,1946,Julio,Viernes,MEXICO,1940,Sin escala
"Oslo, Norway",British European Airways,Northolt - Oslo,Douglas C-47A-10-DK,16.0,11.0,5.0,3.0,0.0,3.0,0.0,1946,Agosto,Miércoles,NORWAY,1940,Sin escala
"Lakehurst, New Jersey",Atlantic Central Airlines,Atlantic City - Newark,Lockheed 18-56 Lodestar,6.0,4.0,2.0,4.0,2.0,2.0,0.0,1946,Agosto,Viernes,EEUU,1940,Sin escala
"Malta-Luqa, Malta",BOAC,,Douglas C-47A,5.0,0.0,5.0,1.0,0.0,1.0,0.0,1946,Agosto,Miércoles,MALTA,1940,Sin dato
"Rouen, France",British Overseas Airways,Palestine - London,Avro 691 Lancastrian 1,9.0,0.0,9.0,8.0,0.0,8.0,0.0,1946,Agosto,Martes,FRANCE,1940,Sin escala
"Moline, Illinois",Trans Luxury Airlines,Teterboro - Chicago - San Francisco,Douglas C-47-DL,25.0,22.0,3.0,2.0,0.0,2.0,0.0,1946,Agosto,Miércoles,EEUU,1940,Con escala
"Cairo, Egypt",Misrair,,Avro Anson,9.0,,,6.0,,,0.0,1946,Agosto,Sábado,EGYPT,1940,Sin dato
"Near Prince Rupert, British Columbia, Canada",Queen Charlotte Airlines,Stewart - Prince Rupert,Supermarine Stranraer (flying boat),7.0,3.0,4.0,7.0,3.0,4.0,0.0,1946,Agosto,Sábado,CANADA,1940,Sin escala
"Holtug, Denmark",Air France,Copenhagen - Paris,Douglas DC-3 (C-53D-DO),22.0,17.0,5.0,22.0,17.0,5.0,0.0,1946,Septiembre,Martes,DENMARK,1940,Sin escala
"Le Bourget, France",Air France,Paris - Croydon,Douglas DC-3,26.0,21.0,5.0,20.0,18.0,2.0,1.0,1946,Septiembre,Miércoles,FRANCE,1940,Sin escala
"Elko, Nevada",Trans-Luxury Airlines,New York City - San Francisco,Douglas DC-3 (C-47-A5-DL),22.0,19.0,3.0,21.0,18.0,3.0,0.0,1946,Septiembre,Jueves,EEUU,1940,Sin escala
"Bathurst, Gambia",British South American Airways,"Bathrust, - Argentina",Avro 685 York I,24.0,20.0,4.0,24.0,20.0,4.0,0.0,1946,Septiembre,Sábado,GAMBIA,1940,Sin escala
"Nome, Alaska",Mt. McKinley Airfreight,,Douglas C-47A,4.0,2.0,2.0,4.0,2.0,2.0,0.0,1946,Septiembre,Sábado,EEUU,1940,Sin dato
"Estevan, Saskatchewan, Canada",Military - Royal Canadian Air Force,,Douglas C-47A Dakota,21.0,,,21.0,,,0.0,1946,Septiembre,Domingo,CANADA,1940,Sin dato
"Brussels, Belgium",Sabena,Brussels - Croydon,Douglas C-47-DL,7.0,4.0,3.0,1.0,0.0,1.0,0.0,1946,Septiembre,Martes,BELGIUM,1940,Sin escala
"Near Gander, Newfoundland",Sabena,Brussels - Shannon - Gander - New York City,Douglas DC-4-1009,44.0,37.0,7.0,27.0,21.0,6.0,0.0,1946,Septiembre,Miércoles,NEWFOUNDLAND,1940,Con escala
"Near Tripoli, Libya",Military -Royal Air Force,"St. Mawan, England - Almaza, Egypt",Avro Lancaster,25.0,19.0,6.0,25.0,19.0,6.0,0.0,1946,Septiembre,Jueves,LIBYA,1940,Sin escala
"Lochi Mountain, China",China National Aviation Corporation,"Sichang - Kunming, Yunnan",Curtiss Wright C-46,28.0,25.0,3.0,28.0,25.0,3.0,0.0,1946,Septiembre,Viernes,CHINA,1940,Sin escala
Near Hong Kong International Airport,Military - Royal Air Force,Hong Kong - Singapore,Douglas C-47B-25-DK,19.0,14.0,5.0,19.0,14.0,5.0,0.0,1946,Septiembre,Miércoles,NEAR HONG KONG INTERNATIONAL AIRPORT,1940,Sin escala
"Near Milngavie, Stirlingshire, Scotland",Railway Air Service Ltd.,Islay - Glascow,de Havilland 89A Dragon Rapide,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1946,Septiembre,Viernes,SCOTLAND,1940,Sin escala
"Rio Doce, Brazil",Panair do Brasil,Belo Horizonte  - Rio de Janerio,Douglas DC-3A-228D,25.0,22.0,3.0,25.0,22.0,3.0,0.0,1946,Septiembre,Viernes,BRAZIL,1940,Sin escala
"Stephenville, Newfoundland",American Overseas Airlines,Gander - Shannon,Douglas C-54E-5-DO,39.0,31.0,8.0,39.0,31.0,8.0,0.0,1946,Octubre,Jueves,NEWFOUNDLAND,1940,Sin escala
"Off Penang, Malaya",Military -Royal Air Force,,Avro 685 York 1,21.0,15.0,6.0,21.0,15.0,6.0,0.0,1946,Octubre,Domingo,MALAYA,1940,Sin dato
"Apeldoorn, The Netherlands",Military - Royal Netherlands Naval Air Service,,Fairey Firefly MK1,1.0,0.0,1.0,1.0,0.0,1.0,22.0,1946,Octubre,Lunes,THE NETHERLANDS,1940,Sin dato
"Cheyenne, Wyoming",United Air Lines,San Francisco - Cheyenne - Chicago,Douglas DC-4,41.0,37.0,4.0,2.0,2.0,0.0,0.0,1946,Octubre,Martes,EEUU,1940,Con escala
"Near Sefrou, Morocco",Air Ocean,Paris - Casablanca,Junkers Ju-52/3m,16.0,11.0,5.0,16.0,11.0,5.0,0.0,1946,Octubre,Jueves,MOROCCO,1940,Sin escala
"Laramie, Wyoming",National Air Transport Services,Oakland - Chicago,Douglas DC-3,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1946,Octubre,Jueves,EEUU,1940,Sin escala
"Near Chitral, India",Military - Royal Air Force,,Douglas C-47B,11.0,,,11.0,,,0.0,1946,Octubre,Jueves,INDIA,1940,Sin dato
"Gebel Kalamoun, Egypt",Socotra,Paris - Cairo,Junkers JU-52/3m,24.0,22.0,2.0,1.0,1.0,0.0,0.0,1946,Octubre,Miércoles,EGYPT,1940,Sin escala
"St Leger-la-Montagne, France",CTA Languedoc Roussillon,Paris - Toulouse - Casablanca,AAC-1 Toucan,27.0,24.0,3.0,23.0,20.0,3.0,0.0,1946,Noviembre,Viernes,FRANCE,1940,Con escala
"Near Moscow, Russia",Aeroflot,"Riga, Latvia - Moscow",Douglas C-47,26.0,,,13.0,,,,1946,Noviembre,Martes,RUSSIA,1940,Sin escala
"Cleveland, Ohio",United Air Lines,Chicago - Cleveland,Douglas DC-3 (C-53D-DO),20.0,17.0,3.0,2.0,0.0,2.0,0.0,1946,Noviembre,Lunes,EEUU,1940,Sin escala
"Lebec, California",Western Airlines,Palmdale - Burbank,Douglas C-53D-DO (DC-3),11.0,8.0,3.0,11.0,8.0,3.0,0.0,1946,Noviembre,Miércoles,EEUU,1940,Sin escala
"Near Cofre de Perote, Mexico",Empressa Commun. Aéreas de Veracruz,Mexico City - Veracruz,Douglas DC-3,15.0,12.0,3.0,15.0,12.0,3.0,0.0,1946,Noviembre,Miércoles,MEXICO,1940,Sin escala
"Amsterdam, Netherlands",KLM Royal Dutch Airlines,London - Amsterdam,Douglas C-47A-90 DL (DC-3),26.0,21.0,5.0,26.0,21.0,5.0,0.0,1946,Noviembre,Jueves,NETHERLANDS,1940,Sin escala
North Pacific Ocean,Military - U.S. Army Air Forces,Guam - Iwo Jima,Douglas C-47,23.0,15.0,8.0,23.0,15.0,8.0,0.0,1946,Noviembre,Sábado,NORTH PACIFIC OCEAN,1940,Sin escala
"San Jose, Costa Rica",Lineas Aéreas Costarricenses  LACSA,,Douglas DC-3 (C-47A-90-DL),22.0,20.0,2.0,22.0,20.0,2.0,0.0,1946,Noviembre,Martes,COSTA RICA,1940,Sin dato
"El Palomar, Argentina",Fuerza Aérea Argentina,,Vickers 620 Viking 1,18.0,15.0,3.0,5.0,2.0,3.0,0.0,1946,Noviembre,Sábado,ARGENTINA,1940,Sin dato
"Meshed, Iran",Aeroflot,Meshed - Teheran,Lisunov Li-2,24.0,,,24.0,,,0.0,1946,Diciembre,Miércoles,IRAN,1940,Sin escala
"Near Osaka, Japan",Military - U.S. Army Air Forces,,Curtiss-Wright C-46F-CU,24.0,19.0,5.0,24.0,19.0,5.0,0.0,1946,Diciembre,Martes,JAPAN,1940,Sin dato
"Toledo, Washington",Military - U.S. Marine Corps,"Miramar NAS, California - Sand Point NB, Seattle",Curtiss-Wright R5C-1,32.0,29.0,3.0,32.0,29.0,3.0,0.0,1946,Diciembre,Martes,EEUU,1940,Sin escala
"Mt. Banahaur, Philippines",Far Eastern Air Transport,Grace Park AF - Lucena,Douglas DC-3 (C-47-B-1-DK),14.0,10.0,4.0,12.0,9.0,3.0,0.0,1946,Diciembre,Sábado,PHILIPPINES,1940,Sin escala
"Caribbean, Atlantic Ocean",Winged Cargo Inc.,"Kingston, Jamaca - San Jose",Douglas C-47A,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1946,Diciembre,Martes,ATLANTIC OCEAN,1940,Sin escala
"Near Rio de Janeiro, Brazil",FAMA (Argentina),London - Buenos Aires.,Avro  685 York I,21.0,15.0,6.0,21.0,15.0,6.0,0.0,1946,Diciembre,Lunes,BRAZIL,1940,Sin escala
"Near San Diego, California",Western Airlines,Holtville - San Diego,Douglas DC-3 ( C-53D-DO),12.0,9.0,3.0,12.0,9.0,3.0,0.0,1946,Diciembre,Martes,EEUU,1940,Sin escala
"Near Wusong, Jiangsu, China",CNAC,Chunking - Shanghi,Curtiss C-47,34.0,31.0,3.0,13.0,10.0,3.0,3.0,1946,Diciembre,Miércoles,CHINA,1940,Sin escala
"Near Shanghai, China",CNAC,Chunking - Shanghi,Douglas DC-3,30.0,27.0,3.0,20.0,17.0,3.0,0.0,1946,Diciembre,Miércoles,CHINA,1940,Sin escala
"Shanghai, China",CATA,Chunking - Shanghai,Douglas C-47,11.0,7.0,4.0,11.0,7.0,4.0,5.0,1946,Diciembre,Miércoles,CHINA,1940,Sin escala
"Walshville, Illinois",Kansas City Southern Skyways,"Flint, MI - Washville, IL",Douglas C-47A,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1946,Diciembre,Sábado,EEUU,1940,Sin escala
"Near Shannon, Ireland",Trans Continental and Western Air,Paris - Shannon,Lockheed 049 Consellation,23.0,14.0,9.0,13.0,9.0,4.0,0.0,1946,Diciembre,Sábado,IRELAND,1940,Sin escala
"Michigan City, Indiana",American Airlines,Buffalo - Chicago,Douglas DC-3 (C-50A-DO),21.0,18.0,3.0,2.0,0.0,2.0,0.0,1946,Diciembre,Sábado,EEUU,1940,Sin escala
"Sao Paulo, Brazil",Panair do Brasil,,Sikorsky S-43B (flying boat),14.0,11.0,3.0,11.0,8.0,3.0,0.0,1947,Enero,Viernes,BRAZIL,1940,Sin dato
"Tsingtao, China",China National Aviation Corporation,Shanghai - Tsingtao - Beijing,Curtis C-46,43.0,38.0,5.0,43.0,38.0,5.0,0.0,1947,Enero,Domingo,CHINA,1940,Con escala
